الإجراءات التصحيحية والتوصيات المتعلقة بتقييم المخاطر,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,إحصائيات وأرقام
"رقم
الإجراء / التوصية ",الوحدة,نسب المخاطرة,الموقع,تاريخ التقييم,تصنيف النشاط,الإجراءات التصحيحية والتوصيات,حالة التوصية,الإدارة المسئولة عن تنفيذ التوصية,تفاصيل إضافية,
1,TCBU,0.8,,2025-01-18 00:00:00,"Hot Works
الأعمال الساخنة",,مفتوح - Open,المشاريع - Project,,
2,MCBU,0.75,,2025-01-18 00:00:00,"Excavation/Trench
عمل حفرية / خندق",,مفتوح - Open,المشاريع - Project,,
3,JCBU,0.66,,2025-01-18 00:00:00,"Isolation Lockout and Tag-out 
العزل الميكانيكي والكهربائي",,مغلق - Close,المشاريع - Project,,
4,TCBU,0.79,,2025-01-18 00:00:00,الأعمال المؤقتة بالطرقات (صيانة، تشغيل),,مفتوح - Open,الخدمات العامة والمرافق - General Services & Facilities ,,
5,MCBU,0.46,,2025-01-18 00:00:00,"Confined Space
العمل  داخل مكان مغلق",,مفتوح - Open,الخدمات العامة والمرافق - General Services & Facilities ,,
6,JCBU,0.5,,2025-01-18 00:00:00,"Working at Height
العمل على ارتفاعات",,مغلق - Close,الخدمات العامة والمرافق - General Services & Facilities ,,
7,TCBU,0.436,,2025-01-18 00:00:00,"Lifting Operation and Equipment
معدات وعمليات الرفع",,مفتوح - Open,المستودعات - Warehouse,,
8,MCBU,0.372,,2025-01-18 00:00:00,"Hazardous Chemical Materials
التعامل مع المواد الكيمائية الخطرة",,مفتوح - Open,المستودعات - Warehouse,,
9,JCBU,0.308,,2025-01-18 00:00:00,أعمال الترميم أو الهدم أو الإزالة,,مغلق - Close,المستودعات - Warehouse,,
10,TCBU,0.244,,2025-01-18 00:00:00,"Dealing with Asbestos
العمل تحت نطاق الإسبيوتس",,مفتوح - Open,العقد طويل الأجل - LOTM,,
11,MCBU,0.18,,2025-01-18 00:00:00,تجهيزات الحماية من الحرائق,,مفتوح - Open,العقد طويل الأجل - LOTM,,
12,JCBU,0.116,,2025-01-18 00:00:00,"Hot Works
الأعمال الساخنة",,مغلق - Close,العقد طويل الأجل - LOTM,,
13,TCBU,0.0519999999999999,,2025-01-18 00:00:00,"Excavation/Trench
عمل حفرية / خندق",,مفتوح - Open,تشغيل وصيانة المياه - Water O&M,,
14,MCBU,0.8,,2025-01-18 00:00:00,"Isolation Lockout and Tag-out 
العزل الميكانيكي والكهربائي",,مفتوح - Open,تشغيل وصيانة المياه - Water O&M,,
15,JCBU,0.75,,2025-01-18 00:00:00,الأعمال المؤقتة بالطرقات (صيانة، تشغيل),,مغلق - Close,تشغيل وصيانة المياه - Water O&M,,
16,TCBU,0.66,,2025-01-18 00:00:00,"Confined Space
العمل  داخل مكان مغلق",,مفتوح - Open,تشغيل وصيانة الخدمات البيئية - ES O&M,,
17,MCBU,0.79,,2025-01-18 00:00:00,"Working at Height
العمل على ارتفاعات",,مفتوح - Open,تشغيل وصيانة الخدمات البيئية - ES O&M,,
18,JCBU,0.46,,2025-01-18 00:00:00,"Lifting Operation and Equipment
معدات وعمليات الرفع",,مغلق - Close,تشغيل وصيانة الخدمات البيئية - ES O&M,,
19,TCBU,0.5,,2025-01-18 00:00:00,"Hazardous Chemical Materials
التعامل مع المواد الكيمائية الخطرة",,مفتوح - Open,تشغيل وصيانة المحافظات - MK Directorates,,
20,MCBU,0.436,,2025-01-18 00:00:00,أعمال الترميم أو الهدم أو الإزالة,,مفتوح - Open,تشغيل وصيانة المحافظات - MK Directorates,,
21,JCBU,0.372,,2025-01-18 00:00:00,"Dealing with Asbestos
العمل تحت نطاق الإسبيوتس",,مغلق - Close,تشغيل وصيانة المحافظات - MK Directorates,,
22,TCBU,0.308,,2025-01-18 00:00:00,تجهيزات الحماية من الحرائق,,مفتوح - Open,إدارة التوصيلات المنزلية - House Connections,,
23,MCBU,0.244,,2025-01-18 00:00:00,"Hot Works
الأعمال الساخنة",,مفتوح - Open,إدارة التوصيلات المنزلية - House Connections,,
24,JCBU,0.18,,2025-01-18 00:00:00,"Excavation/Trench
عمل حفرية / خندق",,مغلق - Close,إدارة التوصيلات المنزلية - House Connections,,
25,TCBU,0.116,,2025-01-18 00:00:00,"Isolation Lockout and Tag-out 
العزل الميكانيكي والكهربائي",,مفتوح - Open,إدارة المختبر - Laboratory,,
26,MCBU,0.0519999999999999,,2025-01-18 00:00:00,الأعمال المؤقتة بالطرقات (صيانة، تشغيل),,مفتوح - Open,إدارة المختبر - Laboratory,,
27,JCBU,0.8,,2025-01-18 00:00:00,"Confined Space
العمل  داخل مكان مغلق",,مغلق - Close,إدارة المختبر - Laboratory,,
28,TCBU,0.75,,2025-01-18 00:00:00,"Working at Height
العمل على ارتفاعات",,مفتوح - Open,أخرى - Other,,
29,MCBU,0.66,,2025-01-18 00:00:00,"Lifting Operation and Equipment
معدات وعمليات الرفع",,مفتوح - Open,أخرى - Other,,
30,JCBU,0.79,,2025-01-18 00:00:00,"Hazardous Chemical Materials
التعامل مع المواد الكيمائية الخطرة",,مغلق - Close,أخرى - Other,,
